"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
4.74817244260073e-62,-1.16572268296389,0.044,0.171,8.48071079972916e-58,"TMBIM4",TRUE
2.55551122458246e-61,-2.00342700728503,0.061,0.19,4.56439859822674e-57,"AIF1",TRUE
5.803317112152e-61,2.36608287298758,0.126,0.03,1.03653046940147e-56,"SEPT5",TRUE
1.10843537569579e-59,-0.836737365860467,0.121,0.28,1.97977642453024e-55,"STXBP2",TRUE
9.63125377576428e-59,-0.633627113347116,0.086,0.238,1.72023823688926e-54,"ZFAS1",TRUE
6.12740746278062e-58,-0.982363251634617,0.163,0.332,1.09441624692725e-53,"JUNB",TRUE
1.61553939650468e-57,-0.490208724797828,0.663,0.822,2.88551491609701e-53,"RPS27",FALSE
3.69015901725618e-57,-0.440848752752135,0.884,0.922,6.59099302072126e-53,"RPLP1",FALSE
5.36832839776453e-57,-0.688050721901969,0.123,0.282,9.58837135124722e-53,"AKAP13",TRUE
7.08330420374772e-57,-0.553256817782852,0.485,0.685,1.26514896383138e-52,"RPS18",TRUE
9.49648150676193e-57,-0.815058053519734,0.096,0.241,1.69616656192275e-52,"DDX17",TRUE
1.00197133672511e-56,-1.08727123679458,0.073,0.208,1.78962100452472e-52,"SLC44A1",TRUE
3.24735813247013e-56,-1.27052645779212,0.041,0.154,5.8001063604049e-52,"MAN2B1",TRUE
6.58118912553874e-56,-2.5265122981531,0.062,0.185,1.17546618971247e-51,"IFI30",TRUE
2.74610342145822e-55,-1.72114566734745,0.018,0.113,4.90481532106653e-51,"SPN",TRUE
6.17166771319874e-55,-1.20424938119646,0.237,0.411,1.10232157025443e-50,"DUSP1",TRUE
7.95814511694298e-55,-0.492214133107814,0.099,0.248,1.42140429933719e-50,"VAMP2",FALSE
2.43242641270009e-54,-1.37929896635175,0.018,0.112,4.34455681572364e-50,"EGLN2",TRUE
2.97354375595455e-54,-1.08540254240372,0.018,0.112,5.31104650251042e-50,"PAGR1",TRUE
4.71121231323208e-54,-0.810961501574855,0.073,0.205,8.41469631266382e-50,"MCL1",TRUE
5.73154358885971e-54,-0.572725643070762,0.098,0.244,1.02371100040623e-49,"CCDC85B",TRUE
3.44950999789098e-53,-1.04798061749733,0.05,0.167,6.16116980723308e-49,"FYB1",TRUE
5.35029007619189e-53,-1.74547628489479,0.015,0.104,9.55615310508633e-49,"TSNAX",TRUE
7.33584059023762e-53,-0.828818128700202,0.06,0.185,1.31025448782234e-48,"XIST",TRUE
2.5815590010827e-52,-0.570393052736235,0.129,0.286,4.6109225318338e-48,"LRRFIP1",TRUE
7.78617709270615e-52,-0.487926826542028,0.332,0.544,1.39068909052825e-47,"NEAT1",FALSE
1.31886205718745e-51,-0.385750216324822,0.179,0.368,2.35561952034251e-47,"SLC25A6",FALSE
1.88057378823789e-51,-0.47711364343907,0.103,0.25,3.35889284317169e-47,"FOSB",FALSE
3.53548707222621e-51,-0.364533398285923,0.584,0.716,6.31473345970324e-47,"MT-CO3",FALSE
4.10053796567199e-51,-0.704402850991256,0.086,0.218,7.32397086048674e-47,"CCDC88A",TRUE
6.72565904671557e-51,-1.53398096277596,0.016,0.103,1.20126996233387e-46,"AC004687.1",TRUE
8.76177803543851e-51,-0.56180764050129,0.073,0.199,1.56494117490967e-46,"COPB1",TRUE
1.45718459997234e-50,-1.01233364649075,0.098,0.233,2.6026774140106e-46,"GRN",TRUE
1.48223961920322e-50,-2.65922462480533,0.02,0.109,2.64742818385887e-46,"HLA-DPA1",TRUE
1.8710374645894e-50,-0.6924378947907,0.036,0.14,3.34186001550312e-46,"RPP21",TRUE
4.16890214823283e-49,-0.367036157011059,0.212,0.4,7.44607612695865e-45,"AHNAK",FALSE
9.42690981308182e-49,-0.592797513086805,0.125,0.267,1.68374036171454e-44,"PRRC2C",TRUE
1.21665947912911e-48,-0.863881702529699,0.023,0.113,2.17307549567251e-44,"ARF3",TRUE
1.60926383641061e-48,-0.36522984634105,0.172,0.337,2.87430613821299e-44,"TCF25",FALSE
3.47647998191199e-48,-0.569701997227537,0.447,0.642,6.20934089569301e-44,"RPS6",TRUE
4.25473926936451e-48,-0.473014331754785,0.133,0.28,7.59938980901195e-44,"PSMA1",FALSE
4.84593150818659e-48,-0.377241580774105,0.541,0.728,8.65531826677206e-44,"RPS25",FALSE
5.12380902022532e-48,-0.487508611818195,0.411,0.603,9.15163529102445e-44,"RPL23A",FALSE
1.36139844864314e-47,-0.843717247027968,0.03,0.126,2.43159376912151e-43,"SELPLG",TRUE
2.02679145074614e-47,-0.574089275163541,0.204,0.371,3.62005221017769e-43,"HNRNPA1",TRUE
2.38985956022882e-47,-0.525397383823006,0.615,0.726,4.26852816052469e-43,"MT-ATP6",TRUE
2.43047580140655e-47,-0.37870520866827,0.185,0.353,4.34107282889224e-43,"HLA-E",FALSE
4.89308220406298e-47,-0.849636152890323,0.059,0.17,8.73953412467689e-43,"SYK",TRUE
8.99882345881199e-47,-0.43242658378277,0.161,0.323,1.60727985797841e-42,"ZEB2",FALSE
1.23114020798771e-46,-2.26468824991415,0.019,0.102,2.19893952548684e-42,"HLA-DMA",TRUE
1.71044393597985e-45,-1.69845596884051,0.057,0.162,3.05502391405362e-41,"RAB4B",TRUE
1.84868353907848e-45,-0.389020266852809,0.096,0.23,3.30193366914808e-41,"LAT2",FALSE
4.57284662532706e-45,-0.672157872308006,0.033,0.126,8.16756135749666e-41,"BORCS8",TRUE
4.81973282501081e-45,-0.621097927282755,0.107,0.239,8.6085247987518e-41,"JUND",TRUE
8.30489511469193e-45,-0.500145193151894,0.074,0.196,1.48333731643513e-40,"CD84",TRUE
1.01781789484979e-44,-0.818649700689855,0.033,0.126,1.81792454199121e-40,"CD4",TRUE
